UniProt ID,Gene,Protein name,
O75351,VPS4B,Vacuolar protein sorting-associated protein 4B,
O75354,ENTPD6,Ectonucleoside triphosphate diphosphohydrolase 6,
O75355,ENTPD3,Ectonucleoside triphosphate diphosphohydrolase 3,
O75356,ENTPD5,Nucleoside diphosphate phosphatase ENTPD5,
O75362,ZNF217,Zinc finger protein 217,
O75365,PTP4A3,Protein tyrosine phosphatase type IVA 3,
O75379,VAMP4,Vesicle-associated membrane protein 4,
O75380,NDUFS6,NADH dehydrogenase [ubiquinone] iron-sulfur protein 6,
O75391,SPAG7,Sperm-associated antigen 7,
O75409,H2AP,Huntingtin-interacting protein M,
O75420,GIGYF1,GRB10-interacting GYF protein 1,
O75427,LRCH4,Leucine-rich repeat and calponin homology domain-containing protein 4,
O75443,TECTA,Alpha-tectorin,
O75460,ERN1,Serine/threonine-protein kinase/endoribonuclease IRE1,
O75462,CRLF1,Cytokine receptor-like factor 1,
O75475,PSIP1,PC4 and SFRS1-interacting protein,
O75487,GPC4,Glypican-4,
O75489,NDUFS3,NADH dehydrogenase [ubiquinone] iron-sulfur protein 3,
O75493,CA11,Carbonic anhydrase-related protein 11,
O75496,GMNN,Geminin,
O75506,HSBP1,Heat shock factor-binding protein 1,
O75509,TNFRSF21,Tumor necrosis factor receptor superfamily member 21,
O75521,ECI2,Enoyl-CoA delta isomerase 2,
O75525,KHDRBS3,KH domain-containing,
O75528,TADA3,Transcriptional adapter 3,
O75529,TAF5L,TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L,
O75534,CSDE1,Cold shock domain-containing protein E1,
O75553,DAB1,Disabled homolog 1,
O75563,SKAP2,Src kinase-associated phosphoprotein 2,
O75569,PRKRA,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,
O75586,MED6,Mediator of RNA polymerase II transcription subunit 6,
O75592,MYCBP2,E3 ubiquitin-protein ligase MYCBP2,
O75594,PGLYRP1,Peptidoglycan recognition protein 1,
O75600,GCAT,2-amino-3-ketobutyrate coenzyme A ligase,
O75629,CREG1,Protein CREG1,
O75631,UPK3A,Uroplakin-3a,
O75665,OFD1,Centriole and centriolar satellite protein OFD1,
O75674,TOM1L1,TOM1-like protein 1,
O75688,PPM1B,Protein phosphatase 1B,
O75695,RP2,Protein XRP2,
O75711,SCRG1,Scrapie-responsive protein 1,
O75717,WDHD1,WD repeat and HMG-box DNA-binding protein 1,
O75718,CRTAP,Cartilage-associated protein,
O75781,PALM,Paralemmin-1,
O75787,ATP6AP2,Renin receptor,
O75791,GRAP2,GRB2-related adapter protein 2,
O75792,RNASEH2A,Ribonuclease H2 subunit A,
O75794,CDC123,Translation initiation factor eIF2 assembly protein,
O75815,BCAR3,Breast cancer anti-estrogen resistance protein 3,
O75821,EIF3G,Eukaryotic translation initiation factor 3 subunit G,
O75828,CBR3,Carbonyl reductase [NADPH] 3,
O75830,SERPINI2,Serpin I2,
O75838,CIB2,Calcium and integrin-binding family member 2,
O75843,AP1G2,AP-1 complex subunit gamma-like 2,
O75871,CEACAM4,Carcinoembryonic antigen-related cell adhesion molecule 4,
O75882,ATRN,Attractin,
O75884,RBBP9,Serine hydrolase RBBP9,
O75886,STAM2,Signal transducing adapter molecule 2,
O75888,TNFSF13,Tumor necrosis factor ligand superfamily member 13,
O75891,ALDH1L1,Cytosolic 10-formyltetrahydrofolate dehydrogenase,
O75901,RASSF9,Ras association domain-containing protein 9,
O75912,DGKI,Diacylglycerol kinase iota,
O75920,SERF1A,,
O75940,SMNDC1,Survival of motor neuron-related-splicing factor 30,
O75947,ATP5PD,ATP synthase subunit d,
O75952,CABYR,Calcium-binding tyrosine phosphorylation-regulated protein,
O75956,CDK2AP2,Cyclin-dependent kinase 2-associated protein 2,
O75995,SASH3,SAM and SH3 domain-containing protein 3,
O76031,CLPX,ATP-dependent Clp protease ATP-binding subunit clpX-like,
O76036,NCR1,Natural cytotoxicity triggering receptor 1,
O76038,SCGN,Secretagogin,
O76039,CDKL5,Cyclin-dependent kinase-like 5,
O76050,NEURL1,E3 ubiquitin-protein ligase NEURL1,
O76054,SEC14L2,SEC14-like protein 2,
O76061,STC2,Stanniocalcin-2,
O76070,SNCG,Gamma-synuclein,
O76071,CIAO1,Probable cytosolic iron-sulfur protein assembly protein CIAO1,
O76074,PDE5A,cGMP-specific 3',
O76076,CCN5,CCN family member 5,
O76087,GAGE7,G antigen 7,
O76095,JTB,Protein JTB,
O76096,CST7,Cystatin-F,
O77932,DXO,Decapping and exoribonuclease protein,
O94760,DDAH1,N(G),
O94762,RECQL5,ATP-dependent DNA helicase Q5,
O94779,CNTN5,Contactin-5,
O94808,GFPT2,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2,
O94813,SLIT2,Slit homolog 2 protein,
O94827,PLEKHG5,Pleckstrin homology domain-containing family G member 5,
O94830,DDHD2,Phospholipase DDHD2,
O94844,RHOBTB1,Rho-related BTB domain-containing protein 1,
O94856,NFASC,Neurofascin,
O94868,FCHSD2,F-BAR and double SH3 domains protein 2,
O94887,FARP2,FERM,
O94900,TOX,Thymocyte selection-associated high mobility group box protein TOX,
O94903,PLPBP,Pyridoxal phosphate homeostasis protein,
O94907,DKK1,Dickkopf-related protein 1,
O94916,NFAT5,Nuclear factor of activated T-cells 5,
O94919,ENDOD1,Endonuclease domain-containing 1 protein,
O94921,CDK14,Cyclin-dependent kinase 14,
O94929,ABLIM3,Actin-binding LIM protein 3,
O94941,UBOX5,RING finger protein 37,
O94979,SEC31A,Protein transport protein Sec31A,
O94986,CEP152,Centrosomal protein of 152 kDa,
O94988,FAM13A,Protein FAM13A,
O94989,ARHGEF15,Rho guanine nucleotide exchange factor 15,
O94991,SLITRK5,SLIT and NTRK-like protein 5,
O94992,HEXIM1,Protein HEXIM1,
O94993,SOX30,Transcription factor SOX-30,
O95049,TJP3,Tight junction protein ZO-3,
O95125,ZNF202,Zinc finger protein 202,
O95150,TNFSF15,Tumor necrosis factor ligand superfamily member 15,
O95153,TSPOAP1,Peripheral-type benzodiazepine receptor-associated protein 1,
O95155,UBE4B,Ubiquitin conjugation factor E4 B,
O95157,NXPH3,Neurexophilin-3,
O95166,GABARAP,Gamma-aminobutyric acid receptor-associated protein,
O95171,SCEL,Sciellin,
O95180,CACNA1H,Voltage-dependent T-type calcium channel subunit alpha-1H,
O95183,VAMP5,Vesicle-associated membrane protein 5,
O95196,CSPG5,Chondroitin sulfate proteoglycan 5,
O95202,LETM1,Mitochondrial proton/calcium exchanger protein,
O95232,LUC7L3,Luc7-like protein 3,
O95239,KIF4A,Chromosome-associated kinesin KIF4A,
O95255,ABCC6,ATP-binding cassette sub-family C member 6,
O95256,IL18RAP,Interleukin-18 receptor accessory protein,
O95257,GADD45G,Growth arrest and DNA damage-inducible protein GADD45 gamma,
O95260,ATE1,Arginyl-tRNA--protein transferase 1,
O95274,LYPD3,Ly6/PLAUR domain-containing protein 3,
O95295,SNAPIN,SNARE-associated protein Snapin,
O95299,NDUFA10,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10,
O95359,TACC2,Transforming acidic coiled-coil-containing protein 2,
O95372,LYPLA2,Acyl-protein thioesterase 2,
O95379,TNFAIP8,Tumor necrosis factor alpha-induced protein 8,
O95388,CCN4,CCN family member 4,
O95393,BMP10,Bone morphogenetic protein 10,
O95394,PGM3,Phosphoacetylglucosamine mutase,
O95396,MOCS3,Adenylyltransferase and sulfurtransferase MOCS3,
O95397,PLEKHA8P1,Putative protein PLEKHA9,
O95400,CD2BP2,CD2 antigen cytoplasmic tail-binding protein 2,
O95405,ZFYVE9,Zinc finger FYVE domain-containing protein 9,
O95407,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,
O95416,SOX14,Transcription factor SOX-14,
O95429,BAG4,BAG family molecular chaperone regulator 4,
O95433,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,
O95445,APOM,Apolipoprotein M,
O95447,LCA5L,Lebercilin-like protein,
O95453,PARN,Poly(A)-specific ribonuclease PARN,
O95456,PSMG1,Proteasome assembly chaperone 1,
O95466,FMNL1,Formin-like protein 1,
O95467,GNAS,Neuroendocrine secretory protein 55,
O95497,VNN1,Pantetheinase,
O95498,VNN2,Pantetheine hydrolase VNN2,
O95502,NPTXR,Neuronal pentraxin receptor,
O95544,NADK,NAD kinase,
O95567,C22orf31,Uncharacterized protein C22orf31,
O95600,KLF8,Krueppel-like factor 8,
O95613,PCNT,Pericentrin,
O95622,ADCY5,Adenylate cyclase type 5,
O95628,CNOT4,CCR4-NOT transcription complex subunit 4,
O95630,STAMBP,STAM-binding protein,
O95633,FSTL3,Follistatin-related protein 3,
O95644,NFATC1,Nuclear factor of activated T-cells,
O95670,ATP6V1G2,V-type proton ATPase subunit G 2,
O95684,CEP43,Centrosomal protein 43,
O95696,BRD1,Bromodomain-containing protein 1,
O95714,HERC2,E3 ubiquitin-protein ligase HERC2,
O95715,CXCL14,C-X-C motif chemokine 14,
O95721,SNAP29,Synaptosomal-associated protein 29,
O95727,CRTAM,Cytotoxic and regulatory T-cell molecule,
O95750,FGF19,Fibroblast growth factor 19,
O95755,RAB36,Ras-related protein Rab-36,
O95757,HSPA4L,Heat shock 70 kDa protein 4L,
O95760,IL33,Interleukin-33,
O95777,LSM8,U6 snRNA-associated Sm-like protein LSm8,
O95786,RIGI,Antiviral innate immune response receptor RIG-I,
O95793,STAU1,Double-stranded RNA-binding protein Staufen homolog 1,
O95813,CER1,Cerberus,
O95817,BAG3,BAG family molecular chaperone regulator 3,
O95825,CRYZL1,Quinone oxidoreductase-like protein 1,
O95831,AIFM1,Apoptosis-inducing factor 1,
O95833,CLIC3,Chloride intracellular channel protein 3,
O95835,LATS1,Serine/threonine-protein kinase LATS1,
O95841,ANGPTL1,Angiopoietin-related protein 1,
O95843,GUCA1C,Guanylyl cyclase-activating protein 3,
O95848,NUDT14,Uridine diphosphate glucose pyrophosphatase NUDT14,
O95857,TSPAN13,Tetraspanin-13,
O95858,TSPAN15,Tetraspanin-15,
O95866,MPIG6B,Megakaryocyte and platelet inhibitory receptor G6b,
O95872,GPANK1,G patch domain and ankyrin repeat-containing protein 1,
O95897,OLFM2,Noelin-2,
O95905,ECD,Protein ecdysoneless homolog,
O95926,SYF2,Pre-mRNA-splicing factor SYF2,
O95954,FTCD,Formimidoyltransferase-cyclodeaminase,
O95965,ITGBL1,Integrin beta-like protein 1,
O95967,EFEMP2,EGF-containing fibulin-like extracellular matrix protein 2,
O95971,CD160,CD160 antigen,
O95980,RECK,Reversion-inducing cysteine-rich protein with Kazal motifs,
O95988,TCL1B,T-cell leukemia/lymphoma protein 1B,
O95994,AGR2,Anterior gradient protein 2 homolog,
O95995,GAS8,Dynein regulatory complex subunit 4,
O95997,PTTG1,Securin,
O95998,IL18BP,Interleukin-18-binding protein,
O96000,NDUFB10,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,
O96004,HAND1,Heart- and neural crest derivatives-expressed protein 1,
O96007,MOCS2,Molybdopterin synthase catalytic subunit,
O96013,PAK4,Serine/threonine-protein kinase PAK 4,
O96017,CHEK2,Serine/threonine-protein kinase Chk2,
P00167,CYB5A,Cytochrome b5,
P00325,ADH1B,All-trans-retinol dehydrogenase [NAD(+)] ADH1B,
P00352,ALDH1A1,Aldehyde dehydrogenase 1A1,
P00390,GSR,Glutathione reductase,
P00441,SOD1,Superoxide dismutase [Cu-Zn],
P00491,PNP,Purine nucleoside phosphorylase,
P00519,ABL1,Tyrosine-protein kinase ABL1,
P00533,EGFR,Epidermal growth factor receptor,
P00568,AK1,Adenylate kinase isoenzyme 1,
P00734,F2,Prothrombin,
P00736,C1R,Complement C1r subcomponent,
P00740,F9,Coagulation factor IX,
P00742,F10,Coagulation factor X,
P00746,CFD,Complement factor D,
P00747,PLG,Plasminogen,
P00748,F12,Coagulation factor XII,
P00749,PLAU,Urokinase-type plasminogen activator,
P00751,CFB,Complement factor B,
P00797,REN,Renin,
P00813,ADA,Adenosine deaminase,
P00915,CA1,Carbonic anhydrase 1,
P00918,CA2,Carbonic anhydrase 2,
P00966,ASS1,Argininosuccinate synthase,
P00995,SPINK1,Serine protease inhibitor Kazal-type 1,
P01008,SERPINC1,Antithrombin-III,
P01009,SERPINA1,Alpha-1-antitrypsin,
P01011,SERPINA3,Alpha-1-antichymotrypsin,
P01019,AGT,Angiotensinogen,
P01024,C3,Complement C3,
P01031,C5,Complement C5,
P01033,TIMP1,Metalloproteinase inhibitor 1,
P01034,CST3,Cystatin-C,
P01037,CST1,Cystatin-SN,
P01100,FOS,Protein c-Fos,
P01111,NRAS,GTPase NRas,
P01112,HRAS,GTPase HRas,
P01127,PDGFB,Platelet-derived growth factor subunit B,
P01130,LDLR,Low-density lipoprotein receptor,
P01133,EGF,Pro-epidermal growth factor,
P01135,TGFA,Protransforming growth factor alpha,
P01137,TGFB1,Transforming growth factor beta-1 proprotein,
P01178,OXT,Oxytocin-neurophysin 1,
P01189,POMC,Pro-opiomelanocortin,
P01210,PENK,Proenkephalin-A,
P01222,TSHB,Thyrotropin subunit beta,
P01225,FSHB,Follitropin subunit beta,
P01229,LHB,Lutropin subunit beta,
P01236,PRL,Prolactin,
P01241,GH1,Somatotropin,
P01242,GH2,Growth hormone variant,
P01258,CALCA,Calcitonin,
P01266,TG,Thyroglobulin,
P01270,PTH,Parathyroid hormone,
P01275,GCG,Pro-glucagon,
P01298,PPY,Pancreatic polypeptide prohormone,
P01303,NPY,Pro-neuropeptide Y,
P01350,GAST,Gastrin,
P01375,TNF,Tumor necrosis factor,
P01562,IFNA1,,
P01563,IFNA2,Interferon alpha-2,
P01574,IFNB1,Interferon beta,
P01579,IFNG,Interferon gamma,
P01583,IL1A,Interleukin-1 alpha,
P01584,IL1B,Interleukin-1 beta,
P01588,EPO,Erythropoietin,
P01589,IL2RA,Interleukin-2 receptor subunit alpha,
P01591,JCHAIN,Immunoglobulin J chain,
P01730,CD4,T-cell surface glycoprotein CD4,
P01732,CD8A,T-cell surface glycoprotein CD8 alpha chain,
P01833,PIGR,Polymeric immunoglobulin receptor,
P01903,HLA-DRA,HLA class II histocompatibility antigen,
P02008,HBZ,Hemoglobin subunit zeta,
P02452,COL1A1,Collagen alpha-1(I) chain,
P02458,COL2A1,Collagen alpha-1(II) chain,
P02461,COL3A1,Collagen alpha-1(III) chain,
P02462,COL4A1,Collagen alpha-1(IV) chain,
P02489,CRYAA,Alpha-crystallin A chain,
P02533,KRT14,Keratin,
P02647,APOA1,Apolipoprotein A-I,
P02649,APOE,Apolipoprotein E,
P02652,APOA2,Apolipoprotein A-II,
P02671,FGA,Fibrinogen alpha chain,
P02679,FGG,Fibrinogen gamma chain,
P02724,GYPA,Glycophorin-A,
P02730,SLC4A1,Band 3 anion transport protein,
P02743,APCS,Serum amyloid P-component,
P02745,C1QA,Complement C1q subcomponent subunit A,
P02748,C9,Complement component C9,
P02749,APOH,Beta-2-glycoprotein 1,
P02750,LRG1,Leucine-rich alpha-2-glycoprotein,
P02751,FN1,Fibronectin,
P02753,RBP4,Retinol-binding protein 4,
P02760,AMBP,Protein AMBP,
P02763,ORM1,Alpha-1-acid glycoprotein 1,
P02765,AHSG,Alpha-2-HS-glycoprotein,
P02766,TTR,Transthyretin,
P02771,AFP,Alpha-fetoprotein,
P02774,GC,Vitamin D-binding protein,
P02775,PPBP,Platelet basic protein,
P02776,PF4,Platelet factor 4,
P02778,CXCL10,C-X-C motif chemokine 10,
P02786,TFRC,Transferrin receptor protein 1,
P02787,TF,Serotransferrin,
P02788,LTF,Lactotransferrin,
P02792,FTL,Ferritin light chain,
P02818,BGLAP,Osteocalcin,
P03372,ESR1,Estrogen receptor,
P03950,ANG,Angiogenin,
P03951,F11,Coagulation factor XI,
P03952,KLKB1,Plasma kallikrein,
P03956,MMP1,Interstitial collagenase,
P03973,SLPI,Antileukoproteinase,
P04004,VTN,Vitronectin,
P04040,CAT,Catalase,
P04054,PLA2G1B,Phospholipase A2,
P04062,GBA1,Lysosomal acid glucosylceramidase,
P04066,FUCA1,Tissue alpha-L-fucosidase,
P04070,PROC,Vitamin K-dependent protein C,
P04080,CSTB,Cystatin-B,
P04083,ANXA1,Annexin A1,
P04085,PDGFA,Platelet-derived growth factor subunit A,
P04114,APOB,Apolipoprotein B-100,
P04118,CLPS,Colipase,
P04141,CSF2,Granulocyte-macrophage colony-stimulating factor,
P04155,TFF1,Trefoil factor 1,
P04179,SOD2,Superoxide dismutase [Mn],
P04180,LCAT,Phosphatidylcholine-sterol acyltransferase,
P04183,TK1,Thymidine kinase,
P04196,HRG,Histidine-rich glycoprotein,
P04216,THY1,Thy-1 membrane glycoprotein,
P04217,A1BG,Alpha-1B-glycoprotein,
P04233,CD74,HLA class II histocompatibility antigen gamma chain,
P04234,CD3D,T-cell surface glycoprotein CD3 delta chain,
P04275,VWF,von Willebrand factor,
P04278,SHBG,Sex hormone-binding globulin,
P04406,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,
P04439,HLA-A,HLA class I histocompatibility antigen,
P04626,ERBB2,Receptor tyrosine-protein kinase erbB-2,
P04629,NTRK1,High affinity nerve growth factor receptor,
P04637,TP53,Cellular tumor antigen p53,
P04792,HSPB1,Heat shock protein beta-1,
P04808,RLN1,Prorelaxin H1,
P04818,TYMS,Thymidylate synthase,
P05000,IFNW1,Interferon omega-1,
P05026,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1,
P05060,CHGB,Secretogranin-1,
P05067,APP,Amyloid-beta precursor protein,
P05089,ARG1,Arginase-1,
P05090,APOD,Apolipoprotein D,
P05091,ALDH2,Aldehyde dehydrogenase,
P05107,ITGB2,Integrin beta-2,
P05112,IL4,Interleukin-4,
P05113,IL5,Interleukin-5,
P05121,SERPINE1,Plasminogen activator inhibitor 1,
P05154,SERPINA5,Plasma serine protease inhibitor,
P05155,SERPING1,Plasma protease C1 inhibitor,
P05156,CFI,Complement factor I,
P05160,F13B,Coagulation factor XIII B chain,
P05164,MPO,Myeloperoxidase,
P05177,CYP1A2,Cytochrome P450 1A2,
P05187,ALPP,Alkaline phosphatase,
P05230,FGF1,Fibroblast growth factor 1,
P05231,IL6,Interleukin-6,
P05305,EDN1,Endothelin-1,
P05362,ICAM1,Intercellular adhesion molecule 1,
P05386,RPLP1,Large ribosomal subunit protein P1,
P05412,JUN,Transcription factor Jun,
P05413,FABP3,Fatty acid-binding protein,
P05423,POLR3D,DNA-directed RNA polymerase III subunit RPC4,
P05451,REG1A,Lithostathine-1-alpha,
P05455,SSB,Lupus La protein,
P05543,SERPINA7,Thyroxine-binding globulin,
P05546,SERPIND1,Heparin cofactor 2,
P05549,TFAP2A,Transcription factor AP-2-alpha,
P05556,ITGB1,Integrin beta-1,
P05783,KRT18,Keratin,
P05787,KRT8,Keratin,
P05937,CALB1,Calbindin,
P05976,MYL1,Myosin light chain 1/3,
P06127,CD5,T-cell surface glycoprotein CD5,
P06132,UROD,Uroporphyrinogen decarboxylase,
P06213,INSR,Insulin receptor,
P06239,LCK,Tyrosine-protein kinase Lck,
P06276,BCHE,Cholinesterase,
P06307,CCK,Cholecystokinin,
P06396,GSN,Gelsolin,
P06401,PGR,Progesterone receptor,
P06681,C2,Complement C2,
P06727,APOA4,Apolipoprotein A-IV,
P06729,CD2,T-cell surface antigen CD2,
P06730,EIF4E,Eukaryotic translation initiation factor 4E,
P06731,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5,
P06733,ENO1,Alpha-enolase,
P06734,FCER2,Low affinity immunoglobulin epsilon Fc receptor,
P06744,GPI,Glucose-6-phosphate isomerase,
P06746,POLB,DNA polymerase beta,
P06748,NPM1,Nucleophosmin,
P06753,TPM3,Tropomyosin alpha-3 chain,
P06756,ITGAV,Integrin alpha-V,
P06850,CRH,Corticoliberin,
P06858,LPL,Lipoprotein lipase,
P06870,KLK1,Kallikrein-1,
P07093,SERPINE2,Glia-derived nexin,
P07098,LIPF,Gastric triacylglycerol lipase,
P07101,TH,Tyrosine 3-monooxygenase,
P07108,DBI,Acyl-CoA-binding protein,
P07148,FABP1,Fatty acid-binding protein,
P07196,NEFL,Neurofilament light polypeptide,
P07203,GPX1,Glutathione peroxidase 1,
P07204,THBD,Thrombomodulin,
P07237,P4HB,Protein disulfide-isomerase,
P07306,ASGR1,Asialoglycoprotein receptor 1,
P07307,ASGR2,Asialoglycoprotein receptor 2,
P07311,ACYP1,Acylphosphatase-1,
P07320,CRYGD,Gamma-crystallin D,
P07332,FES,Tyrosine-protein kinase Fes/Fps,
P07333,CSF1R,Macrophage colony-stimulating factor 1 receptor,
P07339,CTSD,Cathepsin D,
P07355,ANXA2,Annexin A2,
P07358,C8B,Complement component C8 beta chain,
P07359,GP1BA,Platelet glycoprotein Ib alpha chain,
P07451,CA3,Carbonic anhydrase 3,
P07476,IVL,Involucrin,
P07478,PRSS2,Trypsin-2,
P07492,GRP,Gastrin-releasing peptide,
P07585,DCN,Decorin,
P07602,PSAP,Prosaposin,
P07711,CTSL,Procathepsin L,
P07741,APRT,Adenine phosphoribosyltransferase,
P07766,CD3E,T-cell surface glycoprotein CD3 epsilon chain,
P07858,CTSB,Cathepsin B,
P07911,UMOD,Uromodulin,
P07942,LAMB1,Laminin subunit beta-1,
P07947,YES1,Tyrosine-protein kinase Yes,
P07948,LYN,Tyrosine-protein kinase Lyn,
P07949,RET,Proto-oncogene tyrosine-protein kinase receptor Ret,
P07954,FH,Fumarate hydratase,
P07992,ERCC1,DNA excision repair protein ERCC-1,
P07998,RNASE1,Ribonuclease pancreatic,
P08069,IGF1R,Insulin-like growth factor 1 receptor,
P08118,MSMB,Beta-microseminoprotein,
P08133,ANXA6,Annexin A6,
P08134,RHOC,Rho-related GTP-binding protein RhoC,
P08138,NGFR,Tumor necrosis factor receptor superfamily member 16,
P08172,CHRM2,Muscarinic acetylcholine receptor M2,
P08174,CD55,Complement decay-accelerating factor,
P08185,SERPINA6,Corticosteroid-binding globulin,
P08217,CELA2A,Chymotrypsin-like elastase family member 2A,
P08236,GUSB,Beta-glucuronidase,
P08240,SRPRA,Signal recognition particle receptor subunit alpha,
P08246,ELANE,Neutrophil elastase,
P08254,MMP3,Stromelysin-1,
P08263,GSTA1,Glutathione S-transferase A1,
P08294,SOD3,Extracellular superoxide dismutase [Cu-Zn],
P08319,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,
P08397,HMBS,Porphobilinogen deaminase,
P08473,MME,Neprilysin,
P08519,LPA,Apolipoprotein(a),
P08571,CD14,Monocyte differentiation antigen CD14,
P08575,PTPRC,Receptor-type tyrosine-protein phosphatase C,
P08579,SNRPB2,U2 small nuclear ribonucleoprotein B'',
